Sport,Event,Country,Medals,country_3_letter_code,Year,Sede
Baloncesto,masculino,Estados Unidos de America,Gold,USA,2020,tokyo
Baloncesto,masculino,Francia,Silver,FRA,2020,tokyo
Baloncesto,masculino,Australia,Bronze,AUS,2020,tokyo
Baloncesto,masculino,Eslovenia,0,SLO,2020,tokyo
Baloncesto,masculino,Italia,0,ITA,2020,tokyo
Baloncesto,masculino,Espana,0,ESP,2020,tokyo
Baloncesto,masculino,Argentina,0,ARG,2020,tokyo
Baloncesto,masculino,Alemania,0,GER,2020,tokyo
Baloncesto,masculino,Republica Checa,0,TCH,2020,tokyo
Baloncesto,masculino,Nigeria,0,NGR,2020,tokyo
Baloncesto,masculino,Japon,0,JPN,2020,tokyo
Baloncesto,masculino,Republica Islamica de Iran,0,IRI,2020,tokyo
Baloncesto,femenino,Estados Unidos de America,Gold,USA,2020,tokyo
Baloncesto,femenino,Japon,Silver,JPN,2020,tokyo
Baloncesto,femenino,Francia,Bronze,FRA,2020,tokyo
Baloncesto,femenino,Serbia,0,SRB,2020,tokyo
Baloncesto,femenino,Republica Popular China,0,CHN,2020,tokyo
Baloncesto,femenino,Espana,0,ESP,2020,tokyo
Baloncesto,femenino,Belgica,0,BEL,2020,tokyo
Baloncesto,femenino,Australia,0,AUS,2020,tokyo
Baloncesto,femenino,Canada,0,CAN,2020,tokyo
Baloncesto,femenino,Republica de Corea,0,KOR,2020,tokyo
Baloncesto,femenino,Nigeria,0,NGR,2020,tokyo
Baloncesto,femenino,Puerto Rico,0,PRC,2020,tokyo
Baloncesto 3x3,femenino,Estados Unidos de America,Gold,USA,2020,tokyo
Baloncesto 3x3,femenino,ROC,Silver,ROC,2020,tokyo
Baloncesto 3x3,femenino,Republica Popular China,Bronze,CHN,2020,tokyo
Baloncesto 3x3,femenino,Francia,0,FRA,2020,tokyo
Baloncesto 3x3,femenino,Japon,0,JPN,2020,tokyo
Baloncesto 3x3,femenino,Italia,0,ITA,2020,tokyo
Baloncesto 3x3,femenino,Rumania,0,ROU,2020,tokyo
Baloncesto 3x3,femenino,Mongolia,0,MGL,2020,tokyo
Baloncesto 3x3,masculino,Latvia,Gold,LAT,2020,tokyo
Baloncesto 3x3,masculino,ROC,Silver,ROC,2020,tokyo
Baloncesto 3x3,masculino,Serbia,Bronze,SRB,2020,tokyo
Baloncesto 3x3,masculino,Belgica,0,BEL,2020,tokyo
Baloncesto 3x3,masculino,Paises Bajos,0,NED,2020,tokyo
Baloncesto 3x3,masculino,Japon,0,JPN,2020,tokyo
Baloncesto 3x3,masculino,Polonia,0,POL,2020,tokyo
Baloncesto 3x3,masculino,Republica Popular China,0,CHN,2020,tokyo
Balonmano,masculino,Francia,Gold,FRA,2020,tokyo
Balonmano,masculino,Dinamarca,Silver,DEN,2020,tokyo
Balonmano,masculino,Espana,Bronze,ESP,2020,tokyo
Balonmano,masculino,Egipto,0,EGY,2020,tokyo
Balonmano,masculino,Suecia,0,SWE,2020,tokyo
Balonmano,masculino,Alemania,0,GER,2020,tokyo
Balonmano,masculino,Noruega,0,NOR,2020,tokyo
Balonmano,masculino,Barein,0,BAR,2020,tokyo
Balonmano,masculino,Portugal,0,POR,2020,tokyo
Balonmano,masculino,Brasil,0,BRA,2020,tokyo
Balonmano,masculino,Japon,0,JPN,2020,tokyo
Balonmano,masculino,Argentina,0,ARG,2020,tokyo
Balonmano,femenino,Francia,Gold,FRA,2020,tokyo
Balonmano,femenino,ROC,Silver,ROC,2020,tokyo
Balonmano,femenino,Noruega,Bronze,NOR,2020,tokyo
Balonmano,femenino,Suecia,0,SWE,2020,tokyo
Balonmano,femenino,Paises Bajos,0,NED,2020,tokyo
Balonmano,femenino,Montenegro,0,MNT,2020,tokyo
Balonmano,femenino,Hungria,0,HUN,2020,tokyo
Balonmano,femenino,Republica de Corea,0,KOR,2020,tokyo
Balonmano,femenino,Espana,0,ESP,2020,tokyo
Balonmano,femenino,Angola,0,ANG,2020,tokyo
Balonmano,femenino,Brasil,0,BRA,2020,tokyo
Balonmano,femenino,Japon,0,JPN,2020,tokyo
Beisbol,masculino,Japon,Gold,JPN,2020,tokyo
Beisbol,masculino,Estados Unidos de America,Silver,USA,2020,tokyo
Beisbol,masculino,Republica Dominicana,Bronze,RDO,2020,tokyo
Beisbol,masculino,Republica de Corea,0,KOR,2020,tokyo
Beisbol,masculino,Israel,0,ISR,2020,tokyo
Beisbol,masculino,Mexico,0,MEX,2020,tokyo
Softbol,femenino,Japon,Gold,JPN,2020,tokyo
Softbol,femenino,Estados Unidos de America,Silver,USA,2020,tokyo
Softbol,femenino,Canada,Bronze,CAN,2020,tokyo
Softbol,femenino,Mexico,0,MEX,2020,tokyo
Softbol,femenino,Australia,0,AUD,2020,tokyo
Softbol,femenino,Italia,0,ITA,2020,tokyo
Futbol,masculino,Brasil,Gold,BRA,2020,tokyo
Futbol,masculino,Espana,Silver,ESP,2020,tokyo
Futbol,masculino,Mexico,Bronze,MEX,2020,tokyo
Futbol,masculino,Japon,0,JPN,2020,tokyo
Futbol,masculino,Republica de Corea,0,KOR,2020,tokyo
Futbol,masculino,Nueva Zelanda,0,NZL,2020,tokyo
Futbol,masculino,Costa de Marfil,0,CIV,2020,tokyo
Futbol,masculino,Egipto,0,EGY,2020,tokyo
Futbol,masculino,Alemania,0,GER,2020,tokyo
Futbol,masculino,Argentina,0,ARG,2020,tokyo
Futbol,masculino,Rumania,0,ROU,2020,tokyo
Futbol,masculino,Australia,0,AUS,2020,tokyo
Futbol,masculino,Francia,0,FRA,2020,tokyo
Futbol,masculino,Honduras,0,HON,2020,tokyo
Futbol,masculino,Arabia Saudi,0,KSA,2020,tokyo
Futbol,masculino,Sudafrica,0,SDF,2020,tokyo
Futbol,femenino,Canada,Gold,CAN,2020,tokyo
Futbol,femenino,Suecia,Silver,SWE,2020,tokyo
Futbol,femenino,Estados Unidos de America,Bronze,USA,2020,tokyo
Futbol,femenino,Australia,0,AUS,2020,tokyo
Futbol,femenino,Paises Bajos,0,NED,2020,tokyo
Futbol,femenino,Brasil,0,BRA,2020,tokyo
Futbol,femenino,Reino Unido,0,REU,2020,tokyo
Futbol,femenino,Japon,0,JPN,2020,tokyo
Futbol,femenino,Zambia,0,ZAM,2020,tokyo
Futbol,femenino,Republica Popular China,0,CHN,2020,tokyo
Futbol,femenino,Chile,0,CHI,2020,tokyo
